company_name,profile_url,overall_rating,total_reviews,industry,description,rating_career_growth,rating_company_culture,rating_compensation_benefits,rating_job_security,rating_skill_development,rating_work_life,rating_work_satisfaction
HCLTech,https://www.ambitionbox.com/overview/hcl-technologies-overview,3.4,46000,N/A,N/A,2.5,3.27,2.75,3.64,3.23,3.49,3.14
Infosys,https://www.ambitionbox.com/overview/infosys-overview,3.5,48799,N/A,N/A,2.61,3.63,2.69,3.93,3.55,3.64,3.27
Cognizant,https://www.ambitionbox.com/overview/cognizant-overview,3.7,61475,IT Services & Consulting,"At Cognizant, we give organizations the insights to anticipate what customers want and act instantly to deliver on those demands. So they can achieve the goal of every modern business: staying one step ahe",2.88,3.54,3.21,3.55,3.58,3.6,3.37
TCS,https://www.ambitionbox.com/overview/tcs-overview,3.3,114187,IT Services & Consulting,"Tata Consultancy Services is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses for the past 50 years. We believe innovat",2.32,3.24,2.47,3.84,3.22,3.51,3.04
Wipro,https://www.ambitionbox.com/overview/wipro-overview,3.6,65106,IT Services & Consulting,"A technology services and consulting company, Wipro fuels digital transformation for the world's boldest organizations. With opportunities for growth across design, engineering, operations, and more, Wi",2.86,3.57,3.04,3.73,3.53,3.64,3.38
HDFC Bank,https://www.ambitionbox.com/overview/hdfc-bank-overview,3.8,52435,Banking,HDFC Bank is one of India’s leading private banks and was among the first to receive approval from the Reserve Bank of India (RBI) to set up a private sector bank in 1994.&nbsp; A,3.13,3.55,3.44,3.92,3.77,3.54,3.48
ICICI Bank,https://www.ambitionbox.com/overview/icici-bank-overview,4,45949,Banking,"ICICI Bank offers a range of financial products and services to retail, rural, small and medium enterprises and corporate customers. The Bank delivers products and services through various channels incl",3.76,3.72,3.72,4.0,3.82,3.73,3.59
Tech Mahindra,https://www.ambitionbox.com/overview/tech-mahindra-overview,3.4,43308,IT Services & Consulting,"Tech Mahindra (NSE: TECHM) offers technology consulting and digital solutions to global enterprises across industries, enabling transformative scale at unparalleled speed. With 152,000+ professionals ac",2.67,3.23,2.92,3.34,3.25,3.38,3.12
Accenture,https://www.ambitionbox.com/overview/accenture-overview,3.7,73479,IT Services & Consulting,"Accenture is a global professional services company with leading capabilities in digital, cloud, and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer",2.82,3.66,3.26,3.64,3.63,3.6,3.4
Capgemini,https://www.ambitionbox.com/overview/capgemini-overview,3.6,53389,IT Services & Consulting,"Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value. We imagine the future of organizations and make it real with AI, technology and peop",2.76,3.63,2.99,3.77,3.6,3.8,3.42
TP,https://www.ambitionbox.com/overview/tp-overview,3.9,38601,N/A,N/A,3.54,3.72,3.68,3.79,3.75,3.77,3.7
Genpact,https://www.ambitionbox.com/overview/genpact-overview,3.6,42348,Analytics & KPO,"Genpact (NYSE: G) is an&nbsp;advanced technology services and solutions company delivering&nbsp;lasting&nbsp;value for leading global enterprises.&nbsp;Through our&nbsp;deep business knowledge, operatio",2.89,3.49,3.02,3.9,3.54,3.58,3.38
Reliance Retail,https://www.ambitionbox.com/overview/reliance-retail-overview,3.9,27357,N/A,N/A,3.24,3.74,3.62,3.86,3.85,3.77,3.64
